time_series,traffic_status,geometry
2023-01-01 06:00:00,1,"LINESTRING (46.8121301 24.745504, 46.8123571 24.7456475)"
2023-01-01 11:00:00,2,"LINESTRING (24.7340391 46.7936255, 24.7343353 46.794121)"
2023-01-01 14:00:00,0,"LINESTRING (46.7826574 24.7277724, 46.7817048 24.7271786)"
2023-01-01 16:00:00,0,"LINESTRING (46.8631253 24.7938616, 46.860642 24.7905276)"
2023-01-02 06:00:00,1,"LINESTRING (46.9791196 24.9079547, 46.9809733 24.9098901, 46.9820287 24.9113371, 46.9822104 24.9115862, 46.9911646 24.926081, 46.9924938 24.9288979)"
2023-01-02 08:00:00,0,"LINESTRING (46.8366535 24.7605849, 46.8374362 24.7610309, 46.8378128 24.761236, 46.8380164 24.7613469, 46.8382302 24.7614415, 46.8382842 24.7614654, 46.8386057 24.7615595, 46.8389024 24.7616265, 46.8392152 24.7616595, 46.83973 24.7616911, 46.8405504 24.7616941, 46.8409506 24.7616955, 46.8413728 24.7616841, 46.8417252 24.7616654, 46.8420845 24.7616115, 46.8423848 24.7615426, 46.8425475 24.7614909, 46.8426777 24.7614355, 46.8428861 24.7613318, 46.8431944 24.7611609, 46.8433303 24.7610773, 46.8434743 24.7609696, 46.8437145 24.7607559, 46.8440222 24.7604014, 46.8442402 24.7600833, 46.8447492 24.7592776, 46.8456085 24.7579376, 46.846288 24.7568235, 46.8470525 24.7554222, 46.8476471 24.7543166, 46.8478382 24.7539812)"
2023-01-02 14:00:00,0,"LINESTRING (46.8366861 24.7609373, 46.8372254 24.7613033, 46.8379764 24.7618293, 46.8386201 24.7623457, 46.8393282 24.7629107, 46.8400256 24.7635026, 46.8406194 24.7640404)"
2023-01-02 18:00:00,0,"LINESTRING (46.7681528 24.7187614, 46.7671106 24.7181156)"
2023-01-02 18:00:00,0,"LINESTRING (46.7998682 24.7378718, 46.8001554 24.7380421)"
2023-01-03 06:00:00,1,"LINESTRING (46.7734376 24.6936674, 46.7741376 24.6919031)"
2023-01-03 07:00:00,0,"LINESTRING (46.7689574 24.7035971, 46.7691123 24.7033757, 46.7691392 24.7033338)"
2023-01-03 08:00:00,0,"LINESTRING (46.9973197 24.9401593, 46.9966193 24.9392154, 46.9959929 24.9382356, 46.9956121 24.9375588, 46.9953577 24.9369322, 46.9950144 24.9362026, 46.9946301 24.9353042, 46.9942653 24.9342341, 46.9936752 24.9323272, 46.9930799 24.9305718, 46.9926885 24.9296778)"
